user_id,ad_creative_quality,time_of_day,click_probability,is_clicked
user_7846,8,6,0.12491165103015679,0
user_2293,1,19,0.09368373827261758,0
user_4576,6,0,0.06245582551507839,0
user_9304,3,4,0.010409304252513065,0
user_2943,4,15,0.06245582551507839,0
user_9582,2,2,0.010409304252513065,0
user_3375,10,18,0.20818608505026132,0
user_8615,4,15,0.06245582551507839,0
user_4565,4,10,0.06245582551507839,0
user_5029,1,21,0.09368373827261758,0
user_4050,2,11,0.010409304252513065,0
user_7108,10,19,0.20818608505026132,0
user_6802,7,18,0.14573025953518293,0
user_9822,9,9,0.12491165103015679,1
user_4174,3,21,0.09368373827261758,0
user_8298,6,14,0.06245582551507839,0
user_6866,9,20,0.20818608505026132,0
user_8037,3,19,0.09368373827261758,0
user_2628,6,18,0.14573025953518293,0
user_10067,5,9,0.06245582551507839,0
user_9347,1,20,0.09368373827261758,0
user_9197,7,12,0.06245582551507839,0
user_6642,4,17,0.06245582551507839,0
user_9659,8,13,0.12491165103015679,0
user_10593,4,18,0.14573025953518293,0
user_10281,5,18,0.14573025953518293,0
user_10276,4,3,0.06245582551507839,1
user_4423,1,22,0.09368373827261758,0
user_6929,8,21,0.20818608505026132,0
user_10060,5,8,0.06245582551507839,0
user_6774,2,19,0.09368373827261758,0
user_2713,5,5,0.06245582551507839,0
user_2266,2,0,0.010409304252513065,0
user_4158,3,23,0.010409304252513065,0
user_7018,10,16,0.12491165103015679,0
user_4020,5,21,0.14573025953518293,0
user_3450,3,19,0.09368373827261758,0
user_1820,1,20,0.09368373827261758,0
user_8744,5,11,0.06245582551507839,0
user_3744,6,17,0.06245582551507839,0
user_1932,6,15,0.06245582551507839,0
user_10662,5,20,0.14573025953518293,0
user_1585,3,19,0.09368373827261758,0
user_7429,2,23,0.010409304252513065,0
user_2489,7,8,0.06245582551507839,0
user_9392,5,2,0.06245582551507839,0
user_8715,6,22,0.14573025953518293,0
user_9478,9,5,0.12491165103015679,0
user_2576,10,4,0.12491165103015679,0
user_5764,10,18,0.20818608505026132,0
user_9860,3,14,0.010409304252513065,0
user_5105,5,17,0.06245582551507839,0
user_1074,4,19,0.14573025953518293,0
user_10961,10,21,0.20818608505026132,1
user_1133,3,18,0.09368373827261758,0
user_8480,5,20,0.14573025953518293,0
user_10521,8,13,0.12491165103015679,0
user_10226,9,14,0.12491165103015679,0
user_6114,8,21,0.20818608505026132,0
user_8026,5,22,0.14573025953518293,0
user_9985,1,19,0.09368373827261758,0
user_5689,1,1,0.010409304252513065,0
user_5457,4,2,0.06245582551507839,0
user_5128,8,18,0.20818608505026132,0
user_5009,6,19,0.14573025953518293,0
user_3680,6,18,0.14573025953518293,0
user_3152,8,15,0.12491165103015679,0
user_10649,5,10,0.06245582551507839,0
user_1552,2,10,0.010409304252513065,0
user_2620,8,0,0.12491165103015679,1
user_2813,5,19,0.14573025953518293,0
user_4211,6,5,0.06245582551507839,0
user_9286,9,14,0.12491165103015679,0
user_8805,1,19,0.09368373827261758,0
user_4232,8,19,0.20818608505026132,0
user_7733,10,19,0.20818608505026132,0
user_8662,6,0,0.06245582551507839,0
user_4825,8,23,0.12491165103015679,0
user_5425,7,16,0.06245582551507839,0
user_3364,8,0,0.12491165103015679,0
user_9347,8,14,0.12491165103015679,0
user_1681,3,1,0.010409304252513065,0
user_3669,5,18,0.14573025953518293,0
user_7220,10,19,0.20818608505026132,1
user_4759,1,12,0.010409304252513065,0
user_2889,9,23,0.12491165103015679,0
user_2961,3,5,0.010409304252513065,0
user_1623,6,20,0.14573025953518293,0
user_10416,2,18,0.09368373827261758,0
user_7791,1,5,0.010409304252513065,0
user_1857,9,19,0.20818608505026132,1
user_2722,9,6,0.12491165103015679,0
user_6573,5,0,0.06245582551507839,0
user_4500,2,21,0.09368373827261758,0
user_4466,8,12,0.12491165103015679,0
user_4183,6,13,0.06245582551507839,0
user_7679,2,1,0.010409304252513065,0
user_4197,9,0,0.12491165103015679,0
user_8002,9,21,0.20818608505026132,0
user_6567,2,14,0.010409304252513065,0
user_2985,10,11,0.12491165103015679,0
user_1947,9,19,0.20818608505026132,0
user_1457,3,12,0.010409304252513065,0
user_1178,8,18,0.20818608505026132,0
user_10719,1,10,0.010409304252513065,0
user_5321,2,19,0.09368373827261758,0
user_1804,6,14,0.06245582551507839,0
user_8319,8,14,0.12491165103015679,0
user_7358,10,18,0.20818608505026132,0
user_10319,7,7,0.06245582551507839,0
user_7439,2,19,0.09368373827261758,0
user_10472,7,18,0.14573025953518293,0
user_10837,4,20,0.14573025953518293,0
user_10379,3,13,0.010409304252513065,0
user_10369,9,4,0.12491165103015679,0
user_3624,10,23,0.12491165103015679,0
user_2359,9,21,0.20818608505026132,0
user_3991,6,19,0.14573025953518293,0
user_5728,10,10,0.12491165103015679,0
user_1527,5,15,0.06245582551507839,0
user_7387,9,18,0.20818608505026132,0
user_3663,1,2,0.010409304252513065,0
user_1082,4,5,0.06245582551507839,0
user_2885,4,21,0.14573025953518293,0
user_9525,3,18,0.09368373827261758,0
user_2833,4,19,0.14573025953518293,0
user_4810,3,17,0.010409304252513065,0
user_2064,2,20,0.09368373827261758,0
user_5551,10,21,0.20818608505026132,0
user_10460,6,19,0.14573025953518293,0
user_4930,9,13,0.12491165103015679,0
user_1373,8,20,0.20818608505026132,0
user_5376,6,16,0.06245582551507839,0
user_10495,6,7,0.06245582551507839,0
user_6439,2,23,0.010409304252513065,0
user_1666,6,23,0.06245582551507839,0
user_4611,3,21,0.09368373827261758,0
user_1759,5,1,0.06245582551507839,0
user_6452,4,15,0.06245582551507839,0
user_1915,10,19,0.20818608505026132,0
user_1086,8,20,0.20818608505026132,0
user_5470,5,18,0.14573025953518293,0
user_2748,2,19,0.09368373827261758,0
user_10629,1,16,0.010409304252513065,0
user_9590,8,0,0.12491165103015679,0
user_2699,4,20,0.14573025953518293,0
user_7419,2,19,0.09368373827261758,0
user_9722,1,13,0.010409304252513065,0
user_4251,3,18,0.09368373827261758,0
user_7108,4,21,0.14573025953518293,0
user_7353,4,9,0.06245582551507839,0
user_4810,8,22,0.20818608505026132,0
user_8453,1,6,0.010409304252513065,0
user_6130,8,4,0.12491165103015679,0
user_9721,3,11,0.010409304252513065,0
user_6771,10,0,0.12491165103015679,1
user_3570,8,12,0.12491165103015679,0
user_10404,8,17,0.12491165103015679,0
user_9924,4,17,0.06245582551507839,0
user_3393,1,0,0.010409304252513065,0
user_3391,1,18,0.09368373827261758,0
user_3862,6,1,0.06245582551507839,0
user_4659,1,17,0.010409304252513065,0
user_7031,7,19,0.14573025953518293,0
user_7518,8,7,0.12491165103015679,0
user_6069,4,6,0.06245582551507839,0
user_2675,9,4,0.12491165103015679,0
user_4121,4,21,0.14573025953518293,0
user_9654,1,23,0.010409304252513065,0
user_6396,2,18,0.09368373827261758,0
user_8215,3,7,0.010409304252513065,0
user_3632,2,22,0.09368373827261758,0
user_8952,3,12,0.010409304252513065,0
user_2012,7,20,0.14573025953518293,0
user_3418,10,2,0.12491165103015679,0
user_2593,7,19,0.14573025953518293,1
user_7211,6,20,0.14573025953518293,1
user_7017,10,3,0.12491165103015679,0
user_8320,4,20,0.14573025953518293,1
user_10444,4,19,0.14573025953518293,0
user_3682,6,20,0.14573025953518293,1
user_5591,7,1,0.06245582551507839,1
user_3668,9,18,0.20818608505026132,0
user_3663,5,19,0.14573025953518293,0
user_4658,6,8,0.06245582551507839,0
user_10665,1,20,0.09368373827261758,0
user_3338,6,20,0.14573025953518293,0
user_7107,6,16,0.06245582551507839,0
user_10257,2,12,0.010409304252513065,0
user_3001,6,20,0.14573025953518293,0
user_5711,3,9,0.010409304252513065,0
user_6388,1,11,0.010409304252513065,0
user_7165,6,7,0.06245582551507839,0
user_8427,4,19,0.14573025953518293,0
user_5758,8,4,0.12491165103015679,0
user_1817,4,2,0.06245582551507839,0
user_5036,1,4,0.010409304252513065,0
user_2737,6,5,0.06245582551507839,0
user_1553,7,7,0.06245582551507839,0
user_4245,8,22,0.20818608505026132,0
user_8653,7,4,0.06245582551507839,0
user_9319,10,13,0.12491165103015679,0
user_3552,5,6,0.06245582551507839,0
user_10275,10,9,0.12491165103015679,0
user_5697,8,11,0.12491165103015679,0
user_10123,7,8,0.06245582551507839,0
user_9618,7,9,0.06245582551507839,0
user_10483,3,20,0.09368373827261758,0
user_4541,6,18,0.14573025953518293,0
user_4293,6,4,0.06245582551507839,0
user_8995,7,18,0.14573025953518293,1
user_5611,8,9,0.12491165103015679,0
user_3789,5,5,0.06245582551507839,0
user_10394,7,7,0.06245582551507839,0
user_3850,6,20,0.14573025953518293,0
user_5033,8,10,0.12491165103015679,0
user_6970,6,23,0.06245582551507839,0
user_7412,8,19,0.20818608505026132,0
user_9255,8,19,0.20818608505026132,1
user_5582,1,19,0.09368373827261758,0
user_9060,4,2,0.06245582551507839,0
user_7160,7,8,0.06245582551507839,0
user_9828,6,21,0.14573025953518293,0
user_6610,10,23,0.12491165103015679,0
user_3471,6,13,0.06245582551507839,0
user_5045,5,4,0.06245582551507839,0
user_7115,9,21,0.20818608505026132,1
user_8031,7,9,0.06245582551507839,0
user_2857,9,8,0.12491165103015679,0
user_1710,10,14,0.12491165103015679,0
user_2277,9,6,0.12491165103015679,0
user_10794,4,15,0.06245582551507839,0
user_7091,2,20,0.09368373827261758,0
user_9394,6,20,0.14573025953518293,0
user_8099,9,11,0.12491165103015679,1
user_8071,2,21,0.09368373827261758,0
user_1962,7,21,0.14573025953518293,0
user_9920,2,23,0.010409304252513065,0
user_5361,7,21,0.14573025953518293,0
user_1683,6,1,0.06245582551507839,0
user_6141,7,21,0.14573025953518293,0
user_9218,1,21,0.09368373827261758,0
user_1166,7,19,0.14573025953518293,0
user_9238,8,21,0.20818608505026132,0
user_3835,4,21,0.14573025953518293,1
user_7222,5,19,0.14573025953518293,0
user_1698,4,0,0.06245582551507839,0
user_9848,1,21,0.09368373827261758,0
user_1342,3,23,0.010409304252513065,0
user_2783,3,20,0.09368373827261758,0
user_4467,4,18,0.14573025953518293,0
user_7039,2,16,0.010409304252513065,0
user_7697,6,18,0.14573025953518293,0
user_7398,10,3,0.12491165103015679,0
user_5868,9,18,0.20818608505026132,1
user_4074,2,18,0.09368373827261758,0
user_5589,9,3,0.12491165103015679,0
user_7495,10,20,0.20818608505026132,1
user_9784,1,21,0.09368373827261758,0
user_8680,10,7,0.12491165103015679,0
user_8862,6,19,0.14573025953518293,0
user_3150,5,18,0.14573025953518293,0
user_9601,3,5,0.010409304252513065,0
user_4667,4,19,0.14573025953518293,0
user_8123,3,9,0.010409304252513065,1
user_10175,2,1,0.010409304252513065,0
user_8923,2,7,0.010409304252513065,0
user_9575,9,21,0.20818608505026132,0
user_5711,3,1,0.010409304252513065,0
user_4708,2,17,0.010409304252513065,0
user_9370,9,18,0.20818608505026132,0
user_8226,2,22,0.09368373827261758,0
user_8013,3,22,0.09368373827261758,0
user_5243,1,0,0.010409304252513065,0
user_7176,3,5,0.010409304252513065,0
user_10228,4,6,0.06245582551507839,0
user_5511,4,10,0.06245582551507839,0
user_10453,5,20,0.14573025953518293,0
user_4149,5,18,0.14573025953518293,0
user_7170,2,10,0.010409304252513065,0
user_3163,5,16,0.06245582551507839,0
user_10052,3,15,0.010409304252513065,0
user_6659,10,22,0.20818608505026132,0
user_4158,7,22,0.14573025953518293,0
user_10887,10,19,0.20818608505026132,1
user_10501,7,4,0.06245582551507839,0
user_1722,7,18,0.14573025953518293,0
user_10780,4,15,0.06245582551507839,0
user_5394,9,17,0.12491165103015679,0
user_9258,6,19,0.14573025953518293,0
user_3229,4,13,0.06245582551507839,1
user_8842,1,16,0.010409304252513065,0
user_3304,6,21,0.14573025953518293,0
user_7079,3,19,0.09368373827261758,0
user_7638,4,10,0.06245582551507839,1
user_9957,2,20,0.09368373827261758,0
user_3532,8,21,0.20818608505026132,0
user_9255,8,16,0.12491165103015679,0
user_9605,8,16,0.12491165103015679,0
user_8671,9,15,0.12491165103015679,0
user_9776,10,0,0.12491165103015679,1
user_3842,5,6,0.06245582551507839,0
user_9263,5,21,0.14573025953518293,0
user_6393,2,22,0.09368373827261758,0
user_6802,3,7,0.010409304252513065,0
user_2566,10,3,0.12491165103015679,0
user_5946,3,3,0.010409304252513065,0
user_4432,9,22,0.20818608505026132,0
user_6387,2,20,0.09368373827261758,1
user_1765,7,5,0.06245582551507839,0
user_4417,4,19,0.14573025953518293,1
user_4558,2,21,0.09368373827261758,0
user_3340,1,18,0.09368373827261758,0
user_7757,4,18,0.14573025953518293,0
user_9455,10,5,0.12491165103015679,1
user_1868,5,3,0.06245582551507839,0
user_9832,2,18,0.09368373827261758,1
user_1285,7,4,0.06245582551507839,0
user_9936,5,22,0.14573025953518293,0
user_1840,3,17,0.010409304252513065,0
user_10817,1,19,0.09368373827261758,0
user_5252,10,19,0.20818608505026132,0
